epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8942,1.54804,4.29895,1.27724,0.00515,0.41074,0.01172,0.00675,0.92402,3.87329,0.91579,9.999e-05,9.999e-05,9.999e-05
2,26.0776,1.13187,3.75537,1.07666,0.0085,0.73162,0.03185,0.01736,0.95584,3.76922,0.88889,0.00020691,0.00020691,0.00020691
3,37.4013,1.11143,2.81616,1.03023,0.01148,0.93074,0.20659,0.15795,0.90545,3.52299,0.92165,0.000309431,0.000309431,0.000309431
4,48.6817,1.16608,2.50058,1.05663,0.01268,0.9875,0.23557,0.17083,0.92351,3.31037,0.92871,0.000407553,0.000407553,0.000407553
5,59.9511,1.11623,2.20977,1.07528,0.51937,0.21059,0.51853,0.40089,0.8868,2.74848,0.97196,0.000501274,0.000501274,0.000501274
6,71.1794,1.12523,2.02638,1.08786,0.54735,0.38271,0.60112,0.44455,0.95848,2.49097,1.00143,0.000590596,0.000590596,0.000590596
7,82.3872,1.06565,1.87144,1.02004,0.78642,0.35971,0.56923,0.41994,0.9357,2.61743,0.97954,0.000675519,0.000675519,0.000675519
8,93.5265,1.05692,1.69227,1.01557,0.76603,0.53294,0.63486,0.46096,0.96408,2.24867,0.97513,0.000756042,0.000756042,0.000756042
9,104.78,1.0373,1.57741,0.99769,0.75776,0.58966,0.67348,0.49922,0.94126,2.01362,0.97759,0.000832166,0.000832166,0.000832166
10,115.901,1.00697,1.53513,0.97231,0.77295,0.69022,0.73224,0.54488,0.93397,1.89347,0.98558,0.00090389,0.00090389,0.00090389
11,127.135,1.02788,1.46693,1.00641,0.76659,0.6321,0.74341,0.56734,0.8561,1.85073,0.95643,0.000891022,0.000891022,0.000891022
12,138.407,1.04734,1.48214,0.99722,0.61522,0.82756,0.75402,0.57527,0.89798,1.50666,0.95592,0.000869024,0.000869024,0.000869024
13,150.159,1.00798,1.35319,0.97811,0.76551,0.8255,0.81239,0.61582,0.89677,1.19294,0.96399,0.000847026,0.000847026,0.000847026
14,163.199,0.98555,1.32007,1.00177,0.81567,0.96622,0.90083,0.6906,0.86857,1.12908,0.9794,0.000825029,0.000825029,0.000825029
15,178.62,0.95789,1.2205,0.95667,0.86322,0.96566,0.93477,0.74453,0.85254,1.14532,0.97003,0.000803031,0.000803031,0.000803031
16,192.635,0.98164,1.18515,0.99222,0.89796,0.95267,0.97508,0.76549,0.85272,1.03945,0.9752,0.000781033,0.000781033,0.000781033
17,204.633,0.9681,1.11207,0.98473,0.93409,0.95183,0.98693,0.79259,0.85255,1.01266,0.9734,0.000759035,0.000759035,0.000759035
18,216.137,0.8905,1.01906,0.94652,0.95632,0.96943,0.99263,0.73532,0.99726,0.91537,1.01875,0.000737037,0.000737037,0.000737037
19,227.244,0.94625,1.00972,0.96931,0.93504,0.97017,0.99196,0.72531,1.00638,0.90473,1.02592,0.00071504,0.00071504,0.00071504
20,240.142,0.9481,0.93041,0.97427,0.96046,0.98618,0.99213,0.75188,0.93394,0.87582,1.0042,0.000693042,0.000693042,0.000693042
21,254.955,0.92956,0.9271,0.95229,0.95559,0.99101,0.99318,0.7603,0.89221,0.83749,0.99057,0.000671044,0.000671044,0.000671044
22,269.811,0.91985,0.94508,0.95747,0.95409,0.99337,0.99136,0.75071,0.96016,0.88728,0.9973,0.000649046,0.000649046,0.000649046
23,285.106,0.9188,0.99758,0.98124,0.96209,0.97602,0.98717,0.77197,0.8668,0.94893,0.97048,0.000627048,0.000627048,0.000627048
24,297.341,0.93584,1.01777,0.963,0.93796,1,0.98287,0.75987,0.86707,0.90079,0.97476,0.000605051,0.000605051,0.000605051
25,308.705,0.9167,0.91228,0.95026,0.94241,0.99678,0.98354,0.76514,0.8619,0.80714,0.98179,0.000583053,0.000583053,0.000583053
26,323.685,0.92498,0.91644,0.93935,0.95828,0.96791,0.98591,0.73293,0.94863,0.828,1.02133,0.000561055,0.000561055,0.000561055
27,339.431,0.88811,0.87037,0.96333,0.95716,0.98512,0.98591,0.75262,0.89971,0.82013,0.99894,0.000539057,0.000539057,0.000539057
28,355.028,0.87162,0.8872,0.95555,0.96573,0.98824,0.98535,0.76966,0.8484,0.77342,0.97651,0.000517059,0.000517059,0.000517059
29,371.338,0.89255,0.87796,0.94706,0.96174,0.99248,0.98409,0.76858,0.84192,0.72655,0.97042,0.000495062,0.000495062,0.000495062
30,385.177,0.88796,0.88706,0.96326,0.96634,1,0.98227,0.76184,0.86539,0.7184,0.98182,0.000473064,0.000473064,0.000473064
31,396.987,0.86823,0.79089,0.92559,0.95778,0.99606,0.98409,0.76098,0.87797,0.73034,0.99071,0.000451066,0.000451066,0.000451066
32,408.957,0.82079,0.81122,0.91375,0.94504,0.99296,0.98227,0.7635,0.86201,0.73441,0.98562,0.000429068,0.000429068,0.000429068
33,424.897,0.82111,0.80577,0.92516,0.94466,0.98512,0.98227,0.76483,0.8196,0.72679,0.96886,0.00040707,0.00040707,0.00040707
34,439.099,0.88376,0.81636,0.94862,0.94203,0.9954,0.98409,0.77275,0.80446,0.71023,0.96113,0.000385073,0.000385073,0.000385073
35,450.699,0.87761,0.79703,0.95111,0.94099,1,0.98591,0.78392,0.82158,0.71569,0.9651,0.000363075,0.000363075,0.000363075
36,464.862,0.84606,0.82282,0.92071,0.94522,0.99816,0.98773,0.78928,0.83106,0.70231,0.96792,0.000341077,0.000341077,0.000341077
37,479.778,0.80133,0.77112,0.92409,0.95425,0.98976,0.98773,0.78697,0.85118,0.67171,0.96982,0.000319079,0.000319079,0.000319079
38,491.656,0.88901,0.79197,0.9599,0.96286,0.98464,0.98591,0.77481,0.87802,0.67682,0.97447,0.000297081,0.000297081,0.000297081
39,502.71,0.85761,0.75766,0.9206,0.96116,0.98685,0.98591,0.77871,0.85795,0.66901,0.97148,0.000275084,0.000275084,0.000275084
40,516.336,0.84287,0.76294,0.94396,0.95429,0.99354,0.98591,0.77693,0.844,0.66931,0.96929,0.000253086,0.000253086,0.000253086
41,531.076,0.83369,0.93824,0.95954,0.95274,0.99425,0.98409,0.77725,0.82953,0.66859,0.96779,0.000231088,0.000231088,0.000231088
42,545.898,0.80069,0.9002,0.91127,0.95214,1,0.98773,0.78524,0.8212,0.68376,0.96505,0.00020909,0.00020909,0.00020909
43,560.607,0.77883,0.84359,0.92628,0.94912,1,0.98773,0.79553,0.81927,0.6916,0.96467,0.000187092,0.000187092,0.000187092
44,575.176,0.78685,0.84968,0.9248,0.95089,1,0.98773,0.78279,0.82421,0.68801,0.96724,0.000165095,0.000165095,0.000165095
45,589.98,0.82667,0.90332,0.94893,0.95464,1,0.98955,0.78375,0.8257,0.68348,0.96943,0.000143097,0.000143097,0.000143097
46,603.628,0.78519,0.80448,0.93897,0.95317,0.99128,0.98955,0.79238,0.82135,0.66906,0.97434,0.000121099,0.000121099,0.000121099
47,614.41,0.76945,0.82699,0.92612,0.95543,0.98832,0.98773,0.7937,0.81741,0.66661,0.97563,9.91012e-05,9.91012e-05,9.91012e-05
48,625.505,0.79025,0.78786,0.92833,0.95201,0.98938,0.98773,0.7867,0.81542,0.66469,0.97653,7.71034e-05,7.71034e-05,7.71034e-05
49,636.66,0.77657,0.83955,0.93014,0.95114,0.98732,0.98773,0.78335,0.81411,0.66194,0.9766,5.51056e-05,5.51056e-05,5.51056e-05
50,647.693,0.7705,0.78076,0.92478,0.94973,0.98647,0.98773,0.78336,0.8151,0.6573,0.97691,3.31078e-05,3.31078e-05,3.31078e-05
